step,avg_wait,risk_score,action
0,0.0,0.5215651392936707,3
1,0.0,0.5215651392936707,2
2,0.0,0.5215651392936707,1
3,0.0,0.5215651392936707,0
4,0.0,0.5215651392936707,0
5,0.0,0.5215651392936707,0
6,0.0,0.5215651392936707,2
7,0.0,0.5215651392936707,2
8,0.0,0.5215651392936707,3
9,0.0,0.5215651392936707,3
10,0.0,0.5215651392936707,2
11,0.0,0.5215651392936707,3
12,0.0,0.5215651392936707,1
13,0.0,0.5215651392936707,0
14,0.0,0.5215651392936707,3
15,0.0,0.5215651392936707,1
16,0.00016035920461834508,0.5215651392936707,0
17,0.0,0.5215651392936707,1
18,0.0,0.5215651392936707,2
19,0.00016035920461834508,0.5215651392936707,3
20,0.00032071840923669016,0.5215651392936707,3
21,0.0004810776138550353,0.5215651392936707,2
22,0.0006414368184733803,0.5215651392936707,0
23,0.0012828736369467607,0.5215651392936707,2
24,0.001924310455420141,0.5215651392936707,0
25,0.0027261064785118667,0.5215651392936707,3
26,0.0036882617062219372,0.5215651392936707,2
27,0.004169339320076972,0.5215651392936707,2
28,0.004971135343168698,0.5215651392936707,3
29,0.005772931366260423,0.5215651392936707,2
30,0.006895445798588839,0.5215651392936707,1
31,0.006735086593970494,0.5215651392936707,0
32,0.00785760102629891,0.5215651392936707,0
33,0.007216164207825529,0.5215651392936707,3
34,0.0022450288646568314,0.5215651392936707,3
35,0.0025657472738935213,0.5215651392936707,3
36,0.0030468248877485566,0.5215651392936707,2
37,0.0036882617062219372,0.5215651392936707,0
38,0.0043296985246953175,0.5215651392936707,1
39,0.005131494547787043,0.5215651392936707,2
40,0.005612572161642078,0.5215651392936707,0
41,0.003207184092366902,0.5215651392936707,3
42,0.003848620910840282,0.5215651392936707,3
43,0.003527902501603592,0.5215651392936707,0
44,0.003848620910840282,0.5215651392936707,1
45,0.004650416933932007,0.5215651392936707,0
46,0.005612572161642078,0.5215651392936707,1
47,0.0065747273893521484,0.5215651392936707,3
48,0.007697241821680564,0.5215651392936707,3
49,0.00785760102629891,0.5215651392936707,0
50,0.00849903784477229,0.5215651392936707,3
51,0.009300833867864015,0.5215651392936707,2
52,0.010262989095574085,0.5215651392936707,3
53,0.0081783194355356,0.5215651392936707,2
54,0.0065747273893521484,0.5215651392936707,2
55,0.006414368184733804,0.5215651392936707,2
56,0.005291853752405388,0.5215651392936707,2
57,0.0065747273893521484,0.5215651392936707,2
58,0.008017960230917255,0.5215651392936707,1
59,0.00849903784477229,0.5215651392936707,1
60,0.010102629890955742,0.5215651392936707,0
61,0.011706221937139192,0.5215651392936707,2
62,0.013470173187940988,0.5215651392936707,3
63,0.01571520205259782,0.5215651392936707,1
64,0.01699807568954458,0.5215651392936707,3
65,0.017799871712636306,0.5215651392936707,2
66,0.01924310455420141,0.5215651392936707,3
67,0.014111610006414367,0.5215651392936707,3
68,0.014271969211032713,0.5215651392936707,2
69,0.011545862732520847,0.5215651392936707,3
70,0.00849903784477229,0.5215651392936707,3
71,0.00881975625400898,0.5215651392936707,2
72,0.00978191148171905,0.5215651392936707,1
73,0.007697241821680564,0.5215651392936707,2
74,0.006735086593970494,0.5215651392936707,1
75,0.008017960230917255,0.5215651392936707,0
76,0.00946119307248236,0.5215651392936707,1
77,0.010904425914047467,0.5215651392936707,3
78,0.011866581141757537,0.5215651392936707,1
79,0.00946119307248236,0.5215651392936707,2
80,0.011706221937139192,0.5215651392936707,3
81,0.013790891597177678,0.5215651392936707,3
82,0.016196279666452856,0.5215651392936707,2
83,0.019403463758819756,0.5215651392936707,3
84,0.022771007055805002,0.5215651392936707,1
85,0.023091725465041693,0.5215651392936707,1
86,0.017799871712636306,0.5215651392936707,0
87,0.016837716484926234,0.5215651392936707,3
88,0.01731879409878127,0.5215651392936707,3
89,0.017158434894162924,0.5215651392936707,1
90,0.017799871712636306,0.5215651392936707,3
91,0.018280949326491342,0.5215651392936707,2
92,0.02084669660038486,0.5215651392936707,2
93,0.023412443874278384,0.5215651392936707,0
94,0.026138550352790252,0.5215651392936707,0
95,0.029025016035920462,0.5215651392936707,1
96,0.03255291853752405,0.5215651392936707,0
97,0.03624118024374599,0.5215651392936707,3
98,0.03688261706221937,0.5215651392936707,1
99,0.036401539448364335,0.5215651392936707,3
